Date,ticker,adj_close,loaded_at
2019-10-14,CW8.PA,291.70849609375,2021-10-13 08:57:26.093911
2019-10-15,CW8.PA,294.1669006347656,2021-10-13 08:57:26.093911
2019-10-16,CW8.PA,293.0234069824219,2021-10-13 08:57:26.093911
2019-10-17,CW8.PA,292.1000061035156,2021-10-13 08:57:26.093911
2019-10-18,CW8.PA,291.04168701171875,2021-10-13 08:57:26.093911
2019-10-21,CW8.PA,292.4809875488281,2021-10-13 08:57:26.093911
2019-10-22,CW8.PA,293.2409973144531,2021-10-13 08:57:26.093911
2019-10-23,CW8.PA,293.1976013183594,2021-10-13 08:57:26.093911
2019-10-24,CW8.PA,294.993408203125,2021-10-13 08:57:26.093911
2019-10-25,CW8.PA,296.0476989746094,2021-10-13 08:57:26.093911
2019-10-28,CW8.PA,297.0780029296875,2021-10-13 08:57:26.093911
2019-10-29,CW8.PA,296.9916076660156,2021-10-13 08:57:26.093911
2019-10-30,CW8.PA,296.3382873535156,2021-10-13 08:57:26.093911
2019-10-31,CW8.PA,294.68670654296875,2021-10-13 08:57:26.093911
2019-11-01,CW8.PA,297.4284973144531,2021-10-13 08:57:26.093911
2019-11-04,CW8.PA,300.1090087890625,2021-10-13 08:57:26.093911
2019-11-05,CW8.PA,301.6661071777344,2021-10-13 08:57:26.093911
2019-11-06,CW8.PA,301.67889404296875,2021-10-13 08:57:26.093911
2019-11-07,CW8.PA,304.0003967285156,2021-10-13 08:57:26.093911
2019-11-08,CW8.PA,303.50189208984375,2021-10-13 08:57:26.093911
2019-11-11,CW8.PA,302.8817138671875,2021-10-13 08:57:26.093911
2019-11-12,CW8.PA,305.0194091796875,2021-10-13 08:57:26.093911
2019-11-13,CW8.PA,304.30938720703125,2021-10-13 08:57:26.093911
2019-11-14,CW8.PA,303.59930419921875,2021-10-13 08:57:26.093911
2019-11-15,CW8.PA,305.0841979980469,2021-10-13 08:57:26.093911
2019-11-18,CW8.PA,304.82000732421875,2021-10-13 08:57:26.093911
2019-11-19,CW8.PA,304.6075134277344,2021-10-13 08:57:26.093911
2019-11-20,CW8.PA,304.3699951171875,2021-10-13 08:57:26.093911
